+1	﻿+1	﻿+1	﻿+1	﻿+1	﻿+1	Sjajna mi je scena kad se Odin naljuti i pošalje Tora na zemlju. Fantastično!
-M	-M	-M	-M	-M	-M	Zanimljivo videti malo google iznutra ali nije baš smešno. Još jedna neuspela komedija ali definitivno je lepo raditi u google-u.
-1	-1	-1	-1	-1	-1	Koje s....e. Ovo je još gore od olimpusa. Zašto uvek moraju da snime i da puste 2 ista filma u istom periodu.
-1	-1	-1	-1	-1	-1	Užas. Počeo da gledam pa nisam izdržao. Koji man in black rip.
-1	-1	-1	-1	-1	-1	Kakve gluposti oni nama uvaljuju. Već viđeno, samo malo drugačije upakovano
-M	-M	-M	-M	-1	-1	Priznajem više sam očekivao od ovog. Dobro Džekmenu leži ta uloga ali nikako da potrefe pravu stvar :(
+1	+1	+1	+NS	+1	+NS	Koga interesuje priča o volverinu a manje o ostalim mutantima preporučujem gledanje
+1	+1	+1	+1	+1	+1	Dobar. Sasvim drugačiji od tipičnih holivudskih filmova. Pravi hardcore sci-fi
+1	+1	+1	+1	+1	+1	Dženifer odlično izgleda nema šta ;)
+1	+1	+1	+1	+1	+1	Sinoć gledala u bioskopu. Odličan je :)
+1	+1	+1	+1	+1	+1	Jedna od retkih komedija u poslednje vreme da je uspela da me nasmeje.
+1	+1	+1	+1	+1	+1	Mnogo dobar muvi, dragica i ja oduševljeni
+1	+1	+M	+1	+1	+1	Simpatična komedijica. Sandri više leže ove komedijice nego ozbiljni filmovi.
+M	+M	+1	+M	+M	+1	Najbolje ekranizovana manga do sada. Vidi se da je evropljanin (Del Toro) iza toga. Sve je kako treba i definitivno je bolje od transformersa koji su prava američka bljuvotina.
-M	-M	+M	-M	-1	+M	Ne mogu da kažem da je film dosadan ali prvi je definitivno bio bolji
-1	-1	-1	-1	-1	-1	Kakva bljuvotina od filma. Baš nijednom da nasmeje za sat vremena. Bačena 2 sata života...
-1	-1	-1	-1	-1	-1	Ovaj film deluje kao neki trip glavnih likova. Nije mi se baš svideo.
-1	-1	-1	-1	-1	-1	Ne znam. Meni Ešton Kučer nije uopšte ubedljiv kao Džobs. Mislim da su mogli naći mnogo boljeg glavnog glumca.
+1	+1	+1	+1	+1	+1	Nije ni tako loš kao što pričaju. Zanimljivo videti jednu takvu životnu priču ako ništa drugo
-1	-1	-1	-1	-1	-1	Nije mi jasno što se ljudi lože na ovaj tip filmova. Svi su na isti fazon
+1	+1	+1	+1	+1	+1	Odličan film. Preporučujem svima .
+1	+1	+1	+1	+1	+1	Legao sam umoran i pospan, film sam pustio iz navike i odgledao do kraja. Film drži pažnju... Da ne preteram dobra osmica.
-1	-1	-1	-1	-1	-1	Ne volim kada je žrtva u filmu dete ili porodica, jako me to uznemiruje.
+1	+1	+1	+1	+1	+1	Odličan ! ! !
+1	+1	+M	+M	+1	+M	Odličan ali malo težak film. Nije baš za popodnevni ručak ali za subotu uveče taman.
+1	+1	+1	+1	+1	+1	Vredi pogledati, dobra drama. Šta je sve čovek spreman da uradi da bi pronašao dete
-M	+M	+M	-M	+1	+M	Početak je možda malo lošiji ali posle postane dobro. Ipak prvi deo mi je bio malo bolji.
-M	-M	-1	-M	-1	-M	Stvarno ne znam otkud ovolika frka oko ovog filma. Scenografija u svemiru lepa ali po meni ceo film je ravna linija
+1	+1	+1	+1	+1	+1	Sve preporuke za film. Jako dobra priča bazirana na stvarnim događajima, prikazuje takmičarski duh, rizik sporta koji kod nas uopšte nije popularan a jedan je od najrizičnijih, naročito u to vreme. Emocije, radnja, duh, napetost…. sve u jednom. Sve preporuke !
+1	+1	+1	+1	+1	+1	Mislila sam da Hemsvort samo dobro izgleda ali sad vidim da zna i da glumi :)
+1	+1	+1	+1	+1	+1	Mnogo dobar film.
+M	+M	+1	+M	+1	+1	Odličan film. Ne volim filmove o formuli jedan i trkama ali ovde mi to uopšte nije bilo problem. Preporuka :)
-1	-1	-1	-1	-1	-1	Film je žešće smaranje. Više kao crtani film. Par puta se nasmejete na silu i to je to. Emotivno vas uopšte ne angažuje. Kao i pirati s kariba. Verbinskom bolje idu animirani filmovi.
-1	-1	-M	-1	-1	-1	Definitivno je prvi bolji. Kenet Brana je napravio ozbiljniji film a ovo je za decu. Kao naučna fantastika za decu.
-1	-1	-1	-1	-1	-1	Meni je prvi bio bolji. Nemam pojma čemu toliko pirotehnike kao da je rat zvezda u pitanju. Očekivao sam više skandinavske mitologije a manje fantastike
+M	+M	+M	+1	+1	+M	Prvih pola sata i nije tako tipično američki predvidljivo dosadno
-1	-1	-1	-1	-1	-1	Koji smor od filma. Samo sam čekao kraj. Priča bezveza, likovi bezveze. Ovo mi liči na ono kako modni kreatori zamišljaju sci fi. Užas.
+1	+1	+1	+1	+1	+1	Šta pričate ljudi meni je film bio odličan. Akcije taman koliko treba. Nadam se i treći deo da će biti u istom stilu.
-1	-1	-1	-1	-1	-1	Uh nešto su mi sporo prošla ova 3 sata. Ono sa Šmaugom je baš razvučeno. Sad se pitam da li ću gledati treći deo u bioskopu.
+1	+1	+1	+1	+1	+1	Koja navala. Nikad nisam video ovakvu gužvu u bioskopu. Film je odličan, preporučujem.
-1	-1	-1	-1	-1	-1	Uh baš mnogo sam očekivao od ovoga ali prvi deo mi je ipak bio bolji. Mnogo akcije i to bespotrebno razvučene.
-1	-1	-1	-1	-1	-1	Gledao juče. Ovaj 3D mi se uopšte ne sviđa. Sve mi nešto suviše mračno i pomalo mutno. Ne znam da li zbog lošeg kvaliteta naočara ili je to baš tako snimano ali baš pokvari utisak.
+1	+1	+1	+1	+1	+1	film je odličan. ali glavni lik uopšte nije "lako zaradio lovu", kako misle raniji komentatori... Tip ima genijalnost i žvaku za prodaju deonica, ali i kršili su zakon kako je to bilo moguće u to vreme... sve u svemu, priča istinita i inspirativna za film!
+1	+1	+1	+1	+1	+1	Loodilo od filma. Čujem da ima i verzija od 4 sata
-M	-NS	-M	-NS	-1	+1	Ne mogu da verujem kako je lako lik zaradio tu lovu i još pod uticajem alkohola i droge.
+M	+1	+1	+M	+1	+1	Leonardo odličan. Glavni kandidat za oskara. Jeste dugačak film ali vredi pogledati. Kako neki ljudi lako dođu do velikog novca pa to je neverovatno
+M	+M	-M	-M	+1	+M	Dobar film, samo baš dugo traje. Treba izdržati 3 sata
+1	+1	+1	+1	+1	+1	Super. Volim kad naši prave ovakve filmove. Da nije na srpskom ladno može proći kao strani. Lepa promena.
+M	+M	+1	+M	+1	+1	Odličan je. Mada malo lepši mi je bio prvi deo.
-M	-M	-M	-M	-M	-M	Jedino što glume ova dvojica ali film realno nije ništa posebno.
-M	-M	-M	-M	-1	+M	Volim ovaj tip filmova ali baš me nervira ovo beskrupulozno iskorišćavanje franšize. Zašto se ovo uopšte zove 300. Za njih 300 nisu završili u prvom delu.
-M	-M	-M	-M	+M	+M	300 na vodi. Mnogo nasilja i akcije i dobre sex scene ali ništa novo
-1	-1	-M	-NS	-1	-NS	Nema šanse da bi Nojeva žena protivurečila mužu.
-M	-M	-M	-M	-M	+M	Rusel odličan kao i uvek a Ema Votson bolje da se drži Hari Potera. Stvarno nema neki glumački raspon.
+1	+1	+1	+1	+1	+1	Vrlo interesantan film. Vizuelno prelepo urađen. Određeni momenti podsećaju na odiseju 2001. Vredi pogledati
+1	+1	+1	+1	+1	+1	Za ljubitelje dobrog akcionog filma, prava poslastica.
+M	+M	+M	+M	+1	+M	Prva polovina filma deluje kao tipično američko proseravanje ali posle kad se zakuva film postaje dobar.
-1	-1s	-1s	-1s	-1s	-1	Jedino što je stvarno ubijeno u filmu jeste 117 minuta
-1	-1	-1	-1	-1	-1	Jel neko gledao ovo. Čuo da ga hvale ali meni je negledljiv
+1	+1	+1	+1	+1	+1	Neobičan ali dobar film
+M	+M	+M	+M	+1	+1	Simpatična komedijica. Kameron matora ali zgodna. Stvarno ne vidim zašto se muškarci lože na tu Kejt Apton.
-1	-1	-1	-1	-1	-1	Dosada. Lik ceo film priča telefonom.
-1	-1	-1	-1	-1	-1	Ajoj gluposti. Ima li neka dobra komedija u poslednje vreme
+1	+1	+1	+1	+1	+1	Interesantan film. Malo drugačiji pogled na poznatu bajku. Anđelini je lik potpuno legao.
+1	+1	+1	+1	+1	+1	Jedan od retkih filmova u poslednje vreme koji sam odgledao sa pažnjom. Dobar film za sve koji vole onu pravu naučnu fantastiku.
+1	+1	+1	+1	+1	+1	Odličan. Majmuni u filmu bolje glume od ljudi.
+M	+1	+1	+1	+1	+1	Konačno jedan dobar Sandlerov film
-1	-1	-1	-1	-1	-1	Koje sr.nje od filma
-1	-1	-1	-1	-1	-1	Užas. Kome je ovo smešno nije mi jasno
-M	-M	-M	+M	-1	-1	Rok na steroidima ali baš loš film. Malo bolji od prethodnog herkula ove godine
+1	+1	+1	+1	+1	+1	Odličan film. 5+ Ispravka: radnja filma nije u 31 veku već danas, samo mnogo daleko.
-1	-1	-1	-1	-1	-1	Nije mi baš jasno što se masa toliko loži na ovo. Osrednji film
+1	+1	+1	+1	+1	+1	Film je totalno ludilo. Davno se nisam tako zabavio.
-1s	-1s	-1	-1	-1	-1	Zar teroristi moraju da pričaju srpski, pa više ne možeš da odgledaš nijedan film a da rus ili srbin ne bude negativac, verovatno i u Fergusonu smo isto mi demonstranti, ali namazani imalinom!!!
-1	-1	-1	-1	-1	-1	Dokle više. Zešće su smorili.
+1	+1	+1	+1	+1	+1	mnogo je dobra strana
+M	+M	-Ms	+M	+1	+M	Mnogo nelogičnosti ali ipak gledljiv film. Ako se isključi mozak čak zanimljiv ...
-1	-1	-1	-1	-1	-1	KATASTROFA!!!
-1	-1	-1	-1	-1	-1	Denzele, Denzele... Šta ti bi da snimiš ovo? Još i preporuke... kukuuuu
+M	+M	+M	+M	+1	+M	Početak odličan, malo kvari utisak druga polovina filma ali sve u svemu jedan od boljih ove godine.
+1	+1	+1	+1	+1	+1	Denzel rastura. Jedva čekam da vidim Kijanu šta je uradio sa John Wickom
+1	+1	+1	+1	+1	+1	Film koji vredi pogledati!
+M	+M	+M	+M	+1	+1	Iznenadio me ovaj film. Krenulo je prilično mlako i već sam se pitao zašto ima toliko dobru ocenu ali onda sam u drugoj polovini filma shvatio zašto je to tako :).
+M	+M	+M	+M	+1	+1	Još jedan dobar film. Ne volim ratne ali ovaj mi je stvarno bio dobar.
-1	-1	-1	-1	-1	-1	Film onako, ništa posebno, mlak početak, nekoliko nelogičnosti, sve kao da mu fali nešto. Loša kopija Odiseje u svemiru, moje mišljenje. Ocena 6.
+1	+1	+1	+M	+1	+1	Bravo za Draganu !!!
+1	+1	+1	+1	+1	+1	Ovo je jedan od najboljih filmova koje sam ja gledala, najtoplije preporučujem svima
+1	+NS	+M	+M	-NS	+1	Posle ovog filma čovek baš shvati kako vreme brzo prolazi
-M	-M	+M	-M	-1	+M	Moram priznati da sam više očekivao. Početak malo razvučen ali ok. Posle je bilo zanimljivo sve do momenta kad se prešlo malo na fantaziju. Tu mi je film malo pao. Po meni 7
+1	+1	+1	+1	+1	+1	Film je dugačak ali uopšte se ne primeti. Ni na trenutak nije dosadno. Vizuelni efekti i soundtrack su fantastični. Jaka 8 po mom mišljenju .
+1	+1	+1	+1	+1	+1	Ovo se svidelo čak i mojoj ženi a ona baš ne voli fantastiku. Jedva sam je dovukao u bioskop :)
+1	+1	+1	+1	+1	+1	Jako dobar. Ovo vredi još jednom pogledati.
+1	+1	+1	+1	+NS	+NS	Pogledajte RUN ALL NIGHT.
-M	-M	-1	-M	-1	-1	Ništa posebno. Volim Liama ali imao je i boljih filmova.
-M	-M	-1	-1	-1	-1	Ovaj lik posle taken prvi deo nikako da snimi dobar film. Razvučeno i dosadno ...
+1	+1	+M	+1	+1	+M	Malo drugačiji zaplet. Sasvim solidan triler ali ne treba očekivati ništa spektakularno.
-NS	+NS	+NS	+NS	-NS	-NS	Kako da gledam ovaj film ?????????????
+M	+M	+M	+M	+1	+1	Da i meni se svideo. Ima više duha i emocija nego drugi deo koji mi je baš bio dosadan.
+1	+1	+1	+1	+1	+1	Pogledao juče i prilično mi je bolji od 2. dela.
+NS	+NS	+NS	+NS	+NS	+NS	Ima HDCAM verzija na netu. Za BRRIP treba sačekati još koji mesec.
+NS	+NS	+NS	+NS	+NS	+NS	a jel ga ima negde na netu ?
-1	-1	-1	-1	+1	-1	Juče pogledao film. Dok je drugi smorio s dužinom ovde su stvarno mogli malo duže. Ovako deluje nedovršeno.
+NS	+NS	+1	+NS	+1	+1	Uh jedva čekam :)
-M	-M	-M	-M	-M	+M	Kristijan Bejl je dobar kao i uvek, ima čovek harizmu ali ovaj Ramzes je katastrofa. Deluje kao neki trandža a ne jedan od najvećih faraona u istoriji.
+NS	+NS	+NS	+NS	+NS	+NS	Ko ne može da čeka još koji mesec na brrip ima telesync verzija na kickass torrents
+NS	+NS	+NS	+NS	+NS	+NS	E a kad će moći Exodus da se gleda na koju stranicu da ga odgledam?
+1	+1	+1	+1	+1	+1	dooobar
-M	-M	-1	-1	-1	-1	Ovde svaki sledeći sve gori. Zašto kvariti utisak koji je napravio prvi film.
-M	-M	-1	-M	-1	-1s	Početak obećavajući, nakon toga dosada za desetku!
+1	+1	+1	+1	+1	+1	Preporuka. Odličan film.
+1	+1	+1	+1	+1	+1	Odličan film. Obavezno gledajte. Čovek koji je spasao svet od produžetka WWII, i kako je stradao. Pobedom nad nemačkom Enigmom dobijen je brže i efikasnije WWII.
+1	+1	+1	+1	+1	+1	Jedan od najboljih filmova ove godine
+1	+1	+1	+1	+1	+1	Odličan film. Benedikt je sjajan a i ostali su jako dobri.
-1	-1	-1	-1	-1	-1	Očekivao sam malo više priče o dešifrovanju a malo manje njegove lične drame i problema homoseksualaca iz tog vremena.
+M	-M	-M	+M	-1	-M	Ne bih se složio, glumica je vrlo seksi. Film je promašaj, previše mazohizma i sadizma, ali nije loše pogledati.
-1	-1	-1	-1	-1	-1	Koje s..nje od filma. Dosadno i nezanimljivo a riba nije nimalo sexy
-1	-1	-1	-1	-1	-1	Sinoć gledala. Baš sam se razočarala. Nekako sve bledunjavo i glumci totalno neharizmatični. Montevideo je bio mnogo bolji.
+1	+NS	+1	+1	+1	+1	Ludilo i prženje na sve strane. Za 10 dana prešao 800 miliona dolara. Sigurno će preći milijardu.
+1	+1	+1	+1	+1	+1	Nije bilo nijednog dosadnog momenta a scena na kraju je zaista lepo osmišljena. Poslednjih 10 minuta je bilo srceparajuće. Zamalo suzu da pustim...
+1	+1	+1	+1	+1	+1	Žestoko i brzo kao što se i očekivalo. Definitivno akcioni film godine i lep oproštaj od Pola.
+M	+M	+M	+M	+1	+1	Nije dobar kao prvi deo ali svejedno je dovoljno dobar.
+M	+M	+NS	+NS	+NS	+1	Živa istina
-1	-1	-1	-1	-1	-1	Da li stvarno postoji lista na ovom svetu na kojoj je film Radoša Bajića na 3. mestu??? Molim vas ugasite sajt ovo je sramota za kinematografiju...
+1	+1	+1	+1	+1	+1	Odličan film.
+1	+1	+1	+1	+1	+1	Odličan...
+1	+1	+1	+1	+1	+1	Odličan film, svaka preporuka...
-1	-1s	-1	-1	-1s	-1	Razočaranje totalno. Još kad pomislim da sam hteo da vodim curu na to. Ostavila bi me istog momenta ;)
-1	-1	-1	-1	-1	-1	veću glupost skoro nisam gledao
-M	-M	+M	-M	+1	+M	Sinoć gledao. Nije loše ali nekako mi ravno. Nema onu čar starih Mad Max filmova. Nešto mi tu fali. Ipak solidna sedmica.
+1	+1	+1	+1	+1	+1	Nije loš film, vredi pogledati.
-M	-M	-M	-M	-1	-M	Amaterski scenario, dobri vizuelni efekti i to je sve. Potencijal za dobar film, ali neiskorišćen.
-M	-M	-1	-1	-1	-1	Najobičnija papazjanija događaja, likova i ideja.. Samo Hollywood i njegova žeđ za novcem može nastaviti ovakvu nekrofiliju nad franšizom koju smo nekad voleli (računam T1 i T2)!!!
+1	+1	+1	+1	+1	+1	Dobar film, dobro uklopljen sa prethodnim delovima, priča ima smisla, nema preterivanja. Ispunjena očekivanja
+M	-M	+M	+M	+1	+1	Vulgarno ali i dalje smešno. Uvek kažem neću da gledam to sr..nje ali nikad ne izdržim ")
+NS	+NS	+NS	+NS	+NS	+NS	I ja bih da saznam o kojoj pesmi se radi
-1	-1	-NS	+NS	-1	+NS	Bilo bi lepo, čak i pristojno, kada bi se ili autor recenzije potpisao ili vi objavili odakle prenosite-prevodite ovu recenziju...
+NS	+NS	+NS	+NS	+NS	+NS	@neko iz mase Ispravljeno.
-1	-1	-1	-1	-1	-1	trt
-1	-1	-M	-1	-1	-M	Nisam ljubitelj ni stripa ni filma.. ali mogu samo da kažem da mi se Brendon činio savršenim za ulogu a ne ovaj.. ali tako je na prvi pogled, možda grešim!
+1	+1	+1	+1	+1	+1	9/10 bez sumnje.
+M	+M	+M	+M	+M	+1	@Shibby, iako si bio saglasan sa mnom oko Teda moram da kažem da ja ipak sada uopšte nisam saglasan sa tobom po pitanju ovog... Film je fantazija!! 10/10 (a ne volim Tarantinove filmove generalno)
+1	+1	+1	+1	+1	+1	Dobar film, dobri dijalozi, još bolja gluma.
-1	-1	-1	-1	-1	-1	budala!
+1	+1	+1	+1	+1	+1	Ovaj film je najbolji na svetu :-) imam već 18 godina i mislim da nema boljeg filma ;-)
+NS	+NS	+1	+1	+1	+NS	Džejms Džojs je rekao da bi Dablin, ako bi ga neka katastrofa bukvalno sravnila sa zemljom, mogli ponovo izgraditi na osnovu njegovih knjiga. Tako precizno je naslikan Baltimor u ''The Wire''.
+1	+1	+1	+1	+1	+1	odlična serija, jedna od najboljih ikada snimljenih.
+1	+1	+1	+1	+1	+1	fenomenalna... ja sam se srodila sa junacima serije.. Omar je car
+1	+1	+1	+1	+1	+1	Serija je za 10... pa ko ne veruje neka proveri...
+1	+1	+1	+1	+1	+1	Vrh serija, preporuka svima
+1	+1	+1	+1	+1	+1	Suvi kvalitet, po meni jedna od najboljih serija ikad!
+1	+1	+1	+1	+1	+1	odlična
+1	+1	+1	+1	+1	+1	5 sezona... Pratim je već neko vreme. Odlična.
+1	+1	+1	+1	+1	+1	Fenomenalna serija
+1	+1	+1	+1	+1	+1	ovu seriju morate pogledati obavezno najjača serija ikada snimljena
+1	+1	+1	+1	+1	+1	FENOMENALNA
+1	+1	+1	+1	+1	+1	Ko nije gledao pravac bioskop!!! Ja sam ušao skeptičan u salu a izašao oduševljen!!!
+1	+1	+1	+1	+1	+1	Odlična SF akcija! Sve preporuke.
+1	+1	+1	+1	+1	+1	Najbolja-Najjača konverzacija filma: Jugde Dredd: Inhabitants of Peach Trees, this is Judge Dredd. Ma-Ma: Let him talk. Jugde Dredd: In case you have forgotten, this block operates under the same rules as the rest of the city. Ma-Ma is not the law... I am the law.
-M	-M	-M	-M	-1	-1	Loš. Prva dva dela su i korektna, ali sve dalje za zaborav...
-1	-1	-1	-1	-1	-1	Kao peder bal!
+1	+1	+1	+1	+1	+1	Najbolji je! :)))
+M	+1	+1	+1	+1	+1	Film je odličan! Triler-akcija na nivou prethodna tri dela, samo ovaj put jasno bez Met Dejmona. Saga valjda ide dalje...
+1	+1	+1	+1	+1	+1	Ocena za film je 5/5 bez pogovora!!!
+1	+1	+1	+1	+1	+1	Odličan, Gledao u 3D, preporučujem svima!!!!!!!!!!!!!!!
+1	+1	+1	+1	+1	+1	Dobarrr
-1	-1	-1	-1	-1	-1	Ovo ću preskočiti... Ovo leto je Holivud smorio sa crtaćima. Madagascar, Brave, a sad i Ice Age 4.
+1	+1	+1	+1	+1	+1	bio sam ekstra je ovo je najbolje ledeno doba
+1	+1	+1	+1	+1	+1	super je :) najbolja je baba!!
-1	-1	-1	-1	-1	-1	Smeće od "filma".
+1	+1	+1	+1	+1	+1	super je
+M	+M	+M	+M	+M	+1	ok, tekst jeste malo hipsterski ali svejedno me je ubedio da počnem "nabavljati" ovo :)) veliki sam fan spomenute breaking bad pa taman dok čekam ovo, overim justified
-1	-1	-1	-1	-1	-1	Loše odrađeno nažalost...
+1	+1	+1	+1	+1	+1	Fantastičan film. Pogotovo u 3D-u. 8)
-1	-1	-1	-1	-1	-1	loše... katastrofa od filma. 3D nepotreban...
+1	+1	+1	+1	+1	+1	film je extra
-M	+M	+M	+M	+NS	+1	hahahaha kad traje sex
-1	-1	-1	-1	-1	-1s	Slažem se ,,,film je rapsodija dosade i lažnih emocija,,, preporuka ,,,,izbeći po svaku cenu!!
-NS	-NS	+NS	+NS	+NS	+NS	Pa sad, da se likovi nisu pomerili nije tačno, pre svega kada je u pitanju Rick. Rick iz prve sezone nikada ne bi uradio ono što je Rick iz druge sezone radio.
-1	-M	-1	-1	-1	-1	meni je ovo presporo i nekako pomalo prevaziđeno, ima puno boljih serija danas a treba to sve pogledati
-1	-1	-1	-1	-1	-1	Serija jedva da prati dešavanja iz stripa, dakle samo neke osnovne stvari. Međuljudski odnosi i dijalozi daleko su interesantniji u originalu. Ne znam da li je to zbog prevelikih očekivanja, ali druga sezona se bukvalno igrala sa granicama našeg strpljenja.
-M	-M	-M	+1	+1	+M	Nije loš, mada ništa spektakularno... na ivici između realnosti i fikcije, kao i skoro uvek kod Almodovara, bolesno, kao uvek kod Almodovara.
-NS	-NS	-NS	-NS	-NS	-NS	ovaj film više ni nije u bioskopu...
+1	+1	+M	+1	+1	+1	Bolesno... Ali, vrlo dobro! Savetujem pogledati.
+1	+1	+1	+1	+1	+1	Baš ono što se očekuje od Almodovara! Odličan. :))
-1s	-1s	-1s	+NS	+1	+NS	moju baku iznenadio kraj, sva se šokirala
+1	+1	+1	+1	+1	+1	Interesantan film
-1	-1	-1	-1	-1	-1	Film katastrofa. Obavezno preskočiti... Ono što najviše boli producente je činjenica da je film navodno koštao 250 miliona dolara!?, a na box officeu je uspeo vratiti svega pola od te sume...
-1	-1	-M	-1	-1	-1	ma šta mi napriča....
+NS	+NS	+NS	-NS	+NS	+NS	Jar-Jar čini da Evoksi izgledaju zastrašujuće... ahahahahh On je sa Gungana... Evoksi su oni mali medvedi iz VI epizode...
+M	-M	+M	-M	+M	+M	Film kao film predstavlja sliku sveta nakon virusne apokalipse, ali činjenice o samoj zarazi i prenošenju iste su jako neubedljive i imaju dosta propusta... ali, osim ljudi sa dosta medicinske ekspertize, ostalim će film biti vrlo gledljiv :)
+NS	+NS	+NS	+NS	+NS	+NS	Inače Jovanka Vučković iz Novog Sada koja živi i radi u Kanadi je radila efekte za ovaj film (tek toliko da se zna) :D
+1	+1	+1	+1	+1	+1	nije uopšte loš za nedeljno popodne
-1	-1	-1	-1	-1	-1	film je totalna budalaština
-1	-1	-1	-1	-1	-1	film je užas... Tokom svog života sam toliko ojačao želudac sa svakakvim lošim filmovima da sam poprilično oguglao na budalaštine. Pored svega toga je ovaj film uspeo da mi ogadi SF filmove!!! naziv vam govori sve....
-1	-1	-1	-1	-1	-1	Prijatelju, moj savet u zivotu ti je da ćutiš ako nemaš šta da kažeš. A ti baš nemaš šta da kažeš. I dopusti drugima da uživaju u filmu ako tako osećaju.
-1	-1	-1	-1	-1	-1	veću glupost nisam video..... katastrofa.
-Ms	-Ms	-M	-M	-1	-M	nije katastrofa, ali i ništa spektakularno. ništa što očekuješ od onakvog uvoda se na kraju ne ispuni. glumci su super ali je priča bzvz, pogotovo kad se pojave dva dinosaurusa. da li je možda u trenutku kada veći udara manjeg hteo da pojasni suštinu nesretne današnjice? ili ne? :-)
-1s	-1s	-1s	-1s	+NS	+NS	"Krediti za scenario"??? Kako? gde? Imam nešto u planu, tražio bih kredit za režiju, a ako je kamatna stopa povoljna i za dramatizaciju i koreografiju.
-1	-1	-1	-1	-1	-1	Pretpostavljam da ljudi koji pišu ove prikaze ovde rade to za džabe, pa se zato ni ne cimaju mnogo oko pisanja. Jer ovo je katastrofa. Nivo razočarenja je možda manji zato što oni koji angažuju te pisce očekuju od njih verovatno samo to da im pišu za džabe.
-1	-1	-1	-1	-1	-1	4. deo je čist promašaj.
-1	-1	-1	-1	-1	-1	NULA
-1s	-1s	-1s	+M	+M	-1	Odgledao sam čisto da ispoštujem ekipu.... Kada me neko pita o čemu se "radi" u filmu jednostavno odgovorim "Da me j...š ne znam al nije loš, lep snimak imam"
-1	-1	-1	-1	-1	-1	Ko je James Berardinelli i zašto uporno prevodite njegove tekstove? Pa lik je čist lakrdijaš!
+1	+1	+1	+1	+1	+1	Iskreno, meni se film dopao. Klasična, opuštajuća pričica za sve uzraste...
+M	+M	+M	+M	+M	+1	Ma simpatično skroz. Amanda je neverovatno sexy u crvenom ogrtaču s kapuljačicom, gde njena duga plava kosa dolazi do izražaja. Oldman na nivou, a ostali su mogli i bolje da odglume svoje role. Dobra atmosfera, a upotreba CGI efekata nije nešto preterana, što je meni sasvim OK.
+1	+1	+1	+1	+1	+1	extra :-)
+M	+M	+M	+M	+Ms	+1	Scenografija i kostimografija su najbolji deo filma :) eh da da ne zaboravim i saundtrek, bio je odličan! Gluma jeste traljava, ali film ajd nije baš toliko loš!
-1	-1	-1	-1	-1	-1	Ovaj film je uvreda za mozak
-1	-1	-1	-1	-1	-1	smeće prepuno preuveličanog američkog patriotizma i klišea
-1	-1	-1	-1	-1	-1	uvreda za mozak na kvadrat. Ovo je jedan od filmova koje samo najuporniji mogu da odgledaju do kraja
-1s	-1s	-1s	-1s	-1s	-1	I filmu ne mogu da sudim jer ga nisam gledao! recimo samo da su drugari formatirali hard disk posle gledanja "filma". Jedan je čak otišao od kuće..... ako me čuješ javi se mami da ne brine!!!
-1	-1	-1	-1s	-1	-1	"Prvi film vredan pomena u 2011. godini"? Pa ti u stvari nemaš pojma o filmovima.
-1	-1	-1	-1s	-1	-1	molim gospodina koji je ocenjivao film da razmisli o menjanju posla jer se neće baš nešto HLEBA najesti.
+1	+1	+1	+1	+1	+1	dobro
-1s	-1s	-1s	+M	+M	-1	Ko je upravo spavao sa najboljom drugaricom neka odgleda film.... pevušiće zajedno i verovaće u večnu ljubav... sve dok ih neki konj ne prekine!!!!
+1	+1	+1	+1	+1	+1	Odličan film, dobro je što tragedija nije prikazana preterano / mislim previše patetike / kako to često zna biti u ovakvim filmovima. Odnos između majke i klinca koji je vozio veoma intuitivan. Nikol, javi se obožavam te....
+1	+1	+1	+M	+1	+1	Režiser ovog filma, John Cameron Mitchell, lud je ko struja.
+1	+1	+M	+1	+1	+1	ok film... ništa posebno.. extra je Kristijan B odglumio...
+1	+1	+1	+1	+1	+1	Briljantan film, a i Kolin Firt takođe kao i cela ekipa, po meni film dostojan Oskara, bar 3 Za najbolji film, glavnu mušku i epizodnu /Rush/ ulogu.
-1	-1	-1	-1	-1	-1	Aj ovi što su snimali oni rade za pare al ovi što gledaju takvo s.... kuku lele.
+1	+1	+1	+1	-Ms	+1	Soundtrack je brutalan, dobro je da ste mu dali toliko prostora u recenziji.
-1	-1	-1s	-1s	-1	-1s	hahahahahahahhahaahahha.... e o tome se radi u filmu...................... baci ciglu i budi precizan bože!!!
+1	+1	+1	+1	+1	+1	Mislim da je jako bitno napomenuti da je Darren Aronofsky uradio i filmove "Requiem for a Dream" i "Pi". Ovi filmovi su po mom mišljenju mnogo bliži filmu Black Swan od filma The Wrestler. Ali naravno to je samo moje mišljenje. Film u svakom slučaju treba obavezno pogledati jer je sjajan.
+1	+1	+1	+1	+1	+1	Sjajan film!
-M	-M	-M	-1	-1	-M	Natali je izvrsna, dobiće oskara a film ??? pa mislim, ne, ne definitivno ne, pa makar bio i fuck mind, ali na to smo već navikli zar ne... greetings for TALKING HEADS, pa i oni su mnogo bolji fuck mind, Fear on music, that movies...
+1	+1	+M	+M	+1	+1	gledala sam prvi deo, nije loš al sve su ostavili da se desi u drugom delu. biće pucanja iz štapića nonstop :D , dok je ovaj prvi deo spor i blag. svejedno, to je hari poter i volimo ga!
-M	+M	-M	-NS	+NS	+1	lies. neki od nas vole jedino hermionu.
